Model,Execution time,Local MAE,Local MSE,Global MAE,Global MSE,MCMC,Iterations,Burned,Chains,Thinning,BUGS,Noise,Explainability
"logit covariate, no covariate",198.67,0.206778199848119,0.0189345091616178,0.134890922955811,0.044611771394448,True,2000,30000,4,10,JAGS,0.169078066524826,0.0835824822159227
"logit covariate, with covariate",220.17,0.20355964582583,0.0188835142508568,0.141377872323341,0.0460058612381241,True,2000,30000,4,10,JAGS,0.169078066524826,0.0835824822159227
"covariate, no covariate",383.82,0.471179173867658,0.0389196948770258,0.423409958384904,0.127988378528651,True,2000,30000,4,10,JAGS,0.169078066524826,0.0835824822159227
"covariate, with covariate",786.89,0.278946383978733,0.0246854571593411,0.238825910861596,0.0705730312653963,True,2000,30000,4,10,JAGS,0.169078066524826,0.0835824822159227
"logit covariate, no covariate",161.17,0.187480412395698,0.0185140357833524,0.145232258766099,0.0416557987004188,True,2000,30000,4,10,JAGS,0.162327373766063,0.394585139487608
"logit covariate, with covariate",218.42,0.168221197830016,0.0159392305771624,0.117584511410114,0.0346382884729413,True,2000,30000,4,10,JAGS,0.162327373766063,0.394585139487608
"covariate, no covariate",410.92,0.615143831975258,0.0551128499774316,0.556010471815684,0.190565921868923,True,2000,30000,4,10,JAGS,0.162327373766063,0.394585139487608
"covariate, with covariate",810,0.23814825433121,0.022269054373006,0.193637121605242,0.0601961667665898,True,2000,30000,4,10,JAGS,0.162327373766063,0.394585139487608
"logit covariate, no covariate",161.42,0.276819519021156,0.0243182521454056,0.109175628004159,0.0310537866311724,True,2000,30000,4,10,JAGS,0.155949083659478,0.699834350006614
"logit covariate, with covariate",223.41,0.198929617599833,0.0183362219751209,0.133787861776183,0.0409243248974821,True,2000,30000,4,10,JAGS,0.155949083659478,0.699834350006614
"covariate, no covariate",381.25,0.443545396974238,0.0325407901277871,0.31589864622159,0.0887885296107133,True,2000,30000,4,10,JAGS,0.155949083659478,0.699834350006614
"covariate, with covariate",805.3,0.215332969291593,0.019391536610089,0.164544101473028,0.0466419105182571,True,2000,30000,4,10,JAGS,0.155949083659478,0.699834350006614
"logit covariate, no covariate",282.82,0.307246829316927,0.0271606975204239,0.151946351054552,0.0456175104297434,True,2000,30000,4,10,JAGS,0.478152146852754,0.101296986543842
"logit covariate, with covariate",212.18,0.314038339887727,0.0270529510795573,0.153076034308313,0.0458939323264045,True,2000,30000,4,10,JAGS,0.478152146852754,0.101296986543842
"covariate, no covariate",621.950000000001,0.609903561405046,0.0613874514249611,0.469372725647117,0.199412987283499,True,2000,30000,4,10,JAGS,0.478152146852754,0.101296986543842
"covariate, with covariate",775.96,0.331550312820428,0.0284984092640662,0.211422705661104,0.0593420219730613,True,2000,30000,4,10,JAGS,0.478152146852754,0.101296986543842
"logit covariate, no covariate",154.11,0.364975107337302,0.0548634744245284,0.239573648494449,0.0760689723536496,True,2000,30000,4,10,JAGS,0.466020237446566,0.46429523050058
"logit covariate, with covariate",223.2,0.361869198226502,0.0534590690141765,0.214176274197547,0.0671263973195096,True,2000,30000,4,10,JAGS,0.466020237446566,0.46429523050058
"covariate, no covariate",377.67,0.357427341762263,0.0565383853664794,0.286004360976801,0.0914119350119681,True,2000,30000,4,10,JAGS,0.466020237446566,0.46429523050058
"covariate, with covariate",770.639999999999,0.374505537811019,0.0552849544656493,0.202457786764254,0.0732606132261426,True,2000,30000,4,10,JAGS,0.466020237446566,0.46429523050058
"logit covariate, no covariate",157.469999999999,0.614841925597456,0.0530747834776135,0.296092326027929,0.0887770550359954,True,2000,30000,4,10,JAGS,0.460016409993458,0.637549972376223
"logit covariate, with covariate",223.58,0.334402706707169,0.0278883522546391,0.135971292063243,0.0397369347693284,True,2000,30000,4,10,JAGS,0.460016409993458,0.637549972376223
"covariate, no covariate",458.400000000001,0.606304777235961,0.0488459757125546,0.284598612814756,0.0874009606919744,True,2000,30000,4,10,JAGS,0.460016409993458,0.637549972376223
"covariate, with covariate",768.360000000001,0.314800606854891,0.0307468444179952,0.264136194436474,0.0778780448651567,True,2000,30000,4,10,JAGS,0.460016409993458,0.637549972376223
"logit covariate, no covariate",153.559999999999,0.402944382218914,0.025147981297459,0.1346638982942,0.0367596912203412,True,2000,30000,4,10,JAGS,0.809204650260475,0.108418214749425
"logit covariate, with covariate",222.140000000001,0.382151346770585,0.024833100250919,0.145817624432363,0.0417324807796203,True,2000,30000,4,10,JAGS,0.809204650260475,0.108418214749425
"covariate, no covariate",421.4,0.379664809138655,0.024724162801644,0.163408549979502,0.0501851822947831,True,2000,30000,4,10,JAGS,0.809204650260475,0.108418214749425
"covariate, with covariate",802.300000000001,0.387647613220788,0.0254201899772638,0.146052903103817,0.0456641578975969,True,2000,30000,4,10,JAGS,0.809204650260475,0.108418214749425
"logit covariate, no covariate",150.880000000001,0.544163174314079,0.0636872758576986,0.302694360856505,0.102066800243992,True,2000,30000,4,10,JAGS,0.774001352595917,0.451244582959083
"logit covariate, with covariate",217.299999999999,0.507149082972654,0.060209131377302,0.293926338518447,0.0975545606939817,True,2000,30000,4,10,JAGS,0.774001352595917,0.451244582959083
"covariate, no covariate",432.049999999999,0.520333693853982,0.0664741115939332,0.360639191801031,0.126352046090769,True,2000,30000,4,10,JAGS,0.774001352595917,0.451244582959083
"covariate, with covariate",798.570000000002,0.539657349750856,0.0659298567479529,0.329849892567488,0.116184884614046,True,2000,30000,4,10,JAGS,0.774001352595917,0.451244582959083
"logit covariate, no covariate",154,0.512703456195215,0.0549224347422844,0.271322706288632,0.10312078507792,True,2000,30000,4,10,JAGS,0.628312517471897,0.558555783073733
"logit covariate, with covariate",224.470000000001,0.413006396850095,0.0381428578459338,0.173874184973254,0.0523232809215028,True,2000,30000,4,10,JAGS,0.628312517471897,0.558555783073733
"covariate, no covariate",443.779999999999,0.842728725560728,0.0793167671168862,0.26959985705866,0.0819725185888805,True,2000,30000,4,10,JAGS,0.628312517471897,0.558555783073733
"covariate, with covariate",850.42,0.27653151813703,0.0429517944540558,0.154068715990772,0.0469161231145358,True,2000,30000,4,10,JAGS,0.628312517471897,0.558555783073733
